iter	Passed	Remaining
0	3	3689
1	6	3369
2	9	3151
3	12	3020
4	15	2990
5	17	2913
6	20	2909
7	23	2965
8	27	3012
9	30	3013
10	33	3006
11	36	2977
12	39	2984
13	42	2962
14	44	2948
15	47	2920
16	50	2894
17	52	2877
18	55	2866
19	58	2854
20	61	2849
21	64	2851
22	66	2834
23	69	2828
24	72	2816
25	74	2809
26	77	2794
27	80	2781
28	82	2773
29	85	2767
30	88	2766
31	91	2761
32	94	2755
33	96	2753
34	99	2744
35	102	2738
36	105	2735
37	107	2724
38	110	2725
39	113	2731
40	116	2731
41	119	2723
42	122	2719
43	125	2716
44	127	2707
45	130	2702
46	133	2698
47	135	2693
48	138	2689
49	141	2687
50	144	2684
51	147	2679
52	149	2674
53	152	2669
54	155	2664
55	157	2661
56	160	2658
57	163	2654
58	166	2649
59	168	2644
60	171	2641
61	174	2639
62	177	2637
63	179	2632
64	182	2631
65	185	2626
66	188	2623
67	191	2622
68	194	2622
69	197	2623
70	200	2624
71	203	2623
72	206	2618
73	208	2614
74	211	2610
75	214	2609
76	217	2609
77	220	2606
78	223	2603
79	226	2599
80	228	2594
81	231	2592
82	234	2590
83	237	2586
84	239	2583
85	242	2582
86	245	2578
87	248	2573
88	251	2569
89	253	2565
90	256	2561
91	259	2558
92	261	2554
93	264	2549
94	267	2546
95	270	2544
96	272	2540
97	275	2538
98	278	2535
99	281	2531
100	283	2527
101	286	2525
102	289	2525
103	292	2523
104	296	2524
105	299	2524
106	302	2521
107	304	2517
108	307	2514
109	310	2511
110	313	2509
111	316	2508
112	319	2505
113	321	2501
114	324	2497
115	327	2494
116	330	2491
117	333	2489
118	335	2484
119	338	2481
120	340	2477
121	343	2473
122	346	2469
123	349	2466
124	351	2463
125	354	2460
126	357	2457
127	360	2453
128	362	2450
129	365	2448
130	368	2444
131	371	2441
132	373	2437
133	376	2433
134	379	2430
135	382	2427
136	384	2424
137	387	2422
138	390	2420
139	393	2418
140	396	2415
141	399	2416
142	402	2413
143	405	2411
144	408	2409
145	411	2409
146	415	2408
147	418	2408
148	421	2406
149	424	2402
150	426	2399
151	429	2396
152	432	2392
153	435	2390
154	437	2386
155	440	2382
156	443	2378
157	445	2375
158	448	2372
159	451	2369
160	454	2366
161	456	2362
162	459	2359
163	462	2355
164	464	2352
165	467	2348
166	470	2345
167	472	2341
168	475	2338
169	478	2335
170	481	2331
171	483	2329
172	486	2327
173	489	2324
174	492	2322
175	495	2320
176	498	2318
177	501	2315
178	504	2315
179	507	2313
180	510	2310
181	513	2308
182	516	2306
183	519	2304
184	522	2300
185	524	2297
186	527	2294
187	530	2290
188	533	2288
189	536	2285
190	540	2287
191	543	2288
192	546	2286
193	549	2282
194	552	2279
195	554	2276
196	557	2272
197	560	2269
198	563	2267
199	566	2264
200	568	2261
201	571	2259
202	574	2255
203	577	2252
204	580	2249
205	582	2246
206	585	2243
207	588	2240
208	591	2238
209	594	2235
210	597	2234
211	600	2232
212	603	2228
213	606	2226
214	608	2223
215	612	2221
216	615	2219
217	617	2216
218	620	2213
219	623	2209
220	626	2207
221	629	2204
222	631	2201
223	634	2197
224	637	2194
225	639	2191
226	642	2188
227	645	2185
228	648	2182
229	651	2179
230	653	2175
231	656	2173
232	659	2172
233	662	2168
234	665	2165
235	668	2162
236	670	2159
237	673	2156
238	676	2153
239	678	2150
240	681	2146
241	684	2144
242	687	2141
243	690	2139
244	693	2136
245	696	2134
246	699	2131
247	701	2128
248	705	2126
249	708	2124
250	710	2121
251	713	2119
252	716	2116
253	719	2112
254	722	2109
255	724	2106
256	727	2104
257	730	2100
258	733	2097
259	735	2094
260	738	2091
261	741	2088
262	744	2085
263	746	2082
264	749	2079
265	752	2077
266	755	2074
267	758	2071
268	761	2068
269	763	2064
270	766	2061
271	769	2058
272	772	2056
273	774	2053
274	777	2050
275	780	2046
276	783	2043
277	785	2040
278	788	2038
279	791	2035
280	795	2034
281	798	2031
282	801	2029
283	804	2027
284	807	2024
285	809	2021
286	812	2019
287	815	2016
288	818	2013
289	820	2009
290	823	2007
291	826	2004
292	829	2001
293	832	1998
294	835	1995
295	837	1992
296	840	1989
297	843	1986
298	845	1983
299	848	1980
300	851	1977
301	854	1974
302	857	1971
303	859	1968
304	862	1965
305	865	1962
306	867	1959
307	870	1956
308	873	1952
309	876	1950
310	878	1946
311	881	1943
312	884	1940
313	886	1937
314	889	1935
315	892	1932
316	895	1930
317	898	1927
318	901	1925
319	905	1923
320	907	1920
321	910	1917
322	913	1915
323	917	1913
324	920	1910
325	922	1907
326	925	1905
327	928	1902
328	931	1898
329	933	1895
330	936	1892
331	939	1889
332	941	1886
333	944	1883
334	947	1881
335	950	1879
336	953	1876
337	956	1874
338	959	1871
339	962	1869
340	966	1866
341	969	1864
342	972	1861
343	975	1859
344	978	1856
345	981	1854
346	984	1851
347	987	1849
348	990	1847
349	993	1844
350	996	1842
351	999	1839
352	1002	1837
353	1005	1834
354	1008	1831
355	1011	1829
356	1014	1826
357	1016	1823
358	1019	1820
359	1022	1817
360	1024	1814
361	1027	1810
362	1030	1807
363	1032	1804
364	1035	1801
365	1038	1798
366	1040	1795
367	1043	1792
368	1046	1789
369	1049	1786
370	1051	1783
371	1054	1779
372	1056	1776
373	1059	1773
374	1062	1770
375	1065	1767
376	1067	1764
377	1070	1762
378	1073	1759
379	1076	1756
380	1078	1752
381	1081	1749
382	1084	1746
383	1087	1744
384	1090	1741
385	1093	1738
386	1096	1736
387	1099	1733
388	1102	1731
389	1105	1728
390	1107	1725
391	1110	1722
392	1113	1720
393	1116	1716
394	1118	1713
395	1121	1710
396	1124	1707
397	1127	1704
398	1130	1702
399	1133	1699
400	1135	1696
401	1138	1693
402	1141	1690
403	1143	1687
404	1146	1684
405	1149	1681
406	1151	1678
407	1154	1675
408	1157	1672
409	1160	1669
410	1162	1666
411	1165	1663
412	1168	1660
413	1170	1657
414	1173	1654
415	1176	1651
416	1179	1648
417	1182	1645
418	1184	1642
419	1187	1639
420	1190	1637
421	1193	1634
422	1196	1631
423	1199	1628
424	1201	1626
425	1204	1623
426	1207	1620
427	1210	1617
428	1212	1614
429	1215	1611
430	1218	1608
431	1221	1605
432	1223	1602
433	1226	1599
434	1229	1596
435	1231	1593
436	1234	1590
437	1237	1587
438	1240	1585
439	1242	1581
440	1245	1578
441	1248	1576
442	1250	1572
443	1253	1569
444	1256	1567
445	1259	1564
446	1262	1561
447	1264	1558
448	1267	1555
449	1270	1552
450	1272	1549
451	1275	1546
452	1278	1543
453	1280	1540
454	1283	1537
455	1286	1534
456	1289	1532
457	1292	1529
458	1295	1526
459	1297	1523
460	1300	1520
461	1303	1517
462	1306	1514
463	1308	1512
464	1311	1509
465	1314	1506
466	1317	1503
